prey dry mass,Increase in predator dry mass
57.627182,64.822784
68.16717,75.11746
76.304474,106.01242
29.12349,46.431213
64.664764,65.71835
35.303143,32.32141
26.32506,42.8685
13.168541,12.052078
25.580063,37.13968
25.207355,27.522034
26.356995,31.009567
57.771896,38.011093
39.56273,53.799484
71.34793,54.429565
71.34793,113.96506
93.272575,104.21004
40.66574,10.658722
43.047596,25.613976
26.032013,45.30989
22.888443,51.510376
57.078686,71.3761
71.88798,66.83142
38.676884,49.308548
38.526543,48.08789
18.97218,32.31703
65.088905,64.37831
